polski,🇬🇧,🇩🇪,🇮🇹,🇭🇷,🇨🇿,🇭🇺,🇬🇷,🇷🇸
Cześć / dzień dobry / dobry wieczór / dobranoc,Hi / good morning / good evening / good night,hallo / guten Tag / guten Abend / gute Nacht,Ciao / buongiorno / buonasera / buonanotte,Bok / Dobro jutro / Dobra večer / laku noć,ahoj / dobrý den / Dobrý večer / dobrou noc,Szia / jó reggelt / jó estét / jó éjszakát,gia su/kalimèra/kalispèra/kaliníhta,Ćao / dobar dan / dobro veče / laku noć
Proszę / dziękuję / przepraszam,Please / thank you /I'm Sorry,bitte / danke / Entschuldigung,Per favore - per piacere / grazie / mi dispiace,Zdravo / hvala / oprostite,Prosím / Děkuji / líto,kérem / köszönöm / Bocsánat,parakalò/efharistò/signòmi,Molim / hvala / izvinite
Tak / nie / może,Yes / no / maybe,ja / nein / vielleicht,Si / no / forse,Da / Ne / može biti,Ano / ne / možná,Igen / nem / talán,ne/oxi/ísos,Da / ne / možda
zero / jeden / dwa / trzy / cztery / pięć,zero / one / two / three / four / five,null / eins / zwei / drei / vier / fünf,Zero / uno / due / tre / quattro / cinque,jedan / dva / tri / četiri / pet,Nula / jeden / dva / tři / čtyři / pět,Zero / egy / két / három / négy / öt,midèn/èna/dío/tría/tèsera/pènde,nula / jedan / dva / tri / četiri / pet
sześć / siedem / osiem / dziewięć / dziesięć,six / seven / eight / nine / ten,sechs / sieben / acht / neun / zehn,Sei / sette / otto / nove / dieci,šest / razrezati / osam / devet / deset,šest / sedm / osmi / devíti / deseti,hat / hét / nyolc / kilenc / tíz,èksi/eftà/ohtò/enià/dèka,šest / sedam / osam / devet / deset
Wschód / zachód / północ / południe,East / west / north / south,[r] Osten / Westen / Norden / Süden,Est / ovest / nord / sud,istok / zapad / sjever / jug,Východ / západ / sever / jih,kelet / nyugatra / északi / déli,anatolikà/ditikà/vòria/nòtia,Istok / zapad / sever / jug
Wczoraj / dzisiaj / jutro,Yesterday / today / tomorrow,gestern / heute / morgen,Ieri / oggi / domani,jučer / danas / sutra,Včera / dnes / zítra,Tegnap / ma / holnap,htes/símera/àvrio,Juče / danas / sutra
Godzina / dzień / tydzień / miesiąc / kilometr,Hour / day / week / month / kilometer,[e] Uhr / [r] Tag / [e] Woche / [r] Monat / [r] Kilometer,Ora / giorno / settimana / mese / chilometro,"sat, dan, tjedan, mjesec, kilometar",Hodina / den / týden / měsíc / kilometr,Óra / nap / hét / hónap / kilométer,òra/mèra/evdomàda/mínas/hiliòmetro,sat / dan / nedelja / mesec / kilometar
Prawo / lewo / za / przed,Right / left / behind / in front,rechts / links / hinter / vor,Destra / sinistra / dietro / davanti,"desno, lijevo, iza, naprijed",Vlevo / vpravo / vzadu / vpředu,Bal / jobb / mögött / előtt,dexià/aristerà/metà/prin,"Desno / levo / iza / ispred (UWAGA: słowo ""pravo"" znaczy ""prosto"")"
Ten / poprzedni / następny,This / previous / next,diese[s/r] / vorig / nächste[s/r],Questo / precedente / prossimo,"To, prethodni, sljedeći",Tato / předchozí / další,Ezt / előző / következő,aftò/proigúmeno/epómeno,"Taj, ovaj / prethodni / sledeći"
Często / rzadko / nigdy,Often / rare / never,oft/ selten / nie,Spesso / raro / mai,"često, rijetko, nikada",Často / zřídka / nikdy,Gyakran / ritkán / soha,sihnà/spània/potè,Često / retko / nikad
Przed / po,Before / after,bevor / nach,Prima / dopo,"prije, poslije",Před / po,Előtte / eljön,prin/metà,Pre / posle
Góra / dół / nad / pod,Up / down / above / under,oben / unten / über / unter,Su/ gi? / sopra / sotto,"gore, dolje, iznad, ispod",nahoru / dolů / na / pod,tetején / le / több mint / alatt,pàno/kàto/apò pàno/apò kàto,Gore / dole / iznad / ispod
Co? / Gdzie? / Kiedy? / Jak?,What? / Where? / When? / How?,Was ? Wo ? Wann ? Wie ?,Cosa? / dove? / quando? / come?,Što je? / Gdje? / Kada? / Kako?,Co? / Kde? / když? / Jak na to?,Mi? / Hol? / Mikor? / Hogyan?,ti/pu/pòte/pos,Šta? Gde? / Kada? / Kako?
Dlaczego? / Kto? / Który?,Why? / Who? / Which?,Warum ? Wer ? Welche[s/r] ?,Perché? / chi? / quale?,Zašto? / Tko? / Koji?,Proč? / Kdo? / Které?,Miért? / Ki? / Melyik?,giatí/piòs/piò,Zašto? / Ko? / Koji?
Jak dużo? / Jak daleko?,How much? (policzalny) How many (niepoliczalny) / How far?,Wie viel ? Wie weit ?,Quanto / quanti - quante,koliko? / koliko daleko?,Kolik? / Jak daleko?,mennyit? / Milyen messze?,pòso polí/pòso makrià,Koliko? / Koliko daleko?
Nazywam się... / Jak Ci na imię?,My name is... / What's your name?,Ich heiße…/ Wie heißt du ?,Il mio nome ?… - Mi chiamo… / come ti chiami?,moje ime je / što je vaše ime,Jmenuji se ... / Jak se jmenuje?,A nevem ... / Mi a neved?,me lène/esèna pos se lène,Zovem se ... / Kako se zoveš?
